usindex,examiner_art_unit,uspc_class,rejection,allowance
4024069,2821,343,0.5361518683973645,0.46384813160263544
4699734,1661,PLT,0.040873584484641734,0.9591264155153583
6819786,2675,358,0.3988453803866253,0.6011546196133747
3038729,2852,399,0.33227064507926174,0.6677293549207383
10461189,2841,343,0.6118618887562337,0.38813811124376635
271600,2104,361,0.6258521095624379,0.3741478904375622
6043805,3772,128,0.6433480265874514,0.3566519734125486
8458696,2842,327,0.27280570563578355,0.7271942943642165
7720279,1799,422,0.5038085409978375,0.4961914590021625
5924826,2885,362,0.6475046801893736,0.35249531981062643
7589743,3748,415,0.31576985081583375,0.6842301491841662
10545896,2812,257,0.4539676916083195,0.5460323083916805
6520099,1717,427,0.5234334852876704,0.4765665147123296
7771305,1776,095,0.4399098815023449,0.5600901184976551
3764917,2911,D08,0.012098974648865335,0.9879010253511347
9719979,2621,345,0.5591493450637005,0.4408506549362995
4044115,2856,073,0.4370517773374216,0.5629482226625784
5170853,1626,514,0.6098142256354173,0.3901857743645827
6975008,3649,705,0.6371440494036923,0.3628559505963077
525390,2902,D02,0.009940467378038553,0.9900595326219614
6570266,3695,705,0.7086314126954814,0.2913685873045187
5982427,1777,210,0.56290523323504,0.43709476676495995
817810,2901,D12,0.008636090181895484,0.9913639098181045
